categoría,nombre del plato,descripción,precio,URL de imagen
Ceviches y Causas,Ceviche de Toyo,,S/. 25.00,
Ceviches y Causas,Ceviche de Caballa,,S/. 20.00,
Ceviches y Causas,Ceviche de Palabritas,,S/. 20.00,
Ceviches y Causas,Ceviche langostino,,S/. 40.00,
Ceviches y Causas,Ceviche Mixto,,S/. 30.00,
Ceviches y Causas,Ceviche Carretillero,,S/. 30.00,
Ceviches y Causas,Ceviche de Conchas Negras,,S/. 40.00,
Ceviches y Causas,Leche de Tigre Simple,,S/. 15.00,
Ceviches y Causas,Leche de Tigre Mega Especial,,S/. 20.00,
Ceviches y Causas,Leche de Pantera,,S/. 25.00,
Ceviches y Causas,Papa Huancaína + Ceviche,,S/. 10.00,
Ceviches y Causas,Papa Rellena + Ceviche,,S/. 10.00,
Ceviches y Causas,Tortilla de Choclo + Ceviche,,S/. 15.00,
Ceviches y Causas,Causa Acevichada,,S/. 20.00,
Ceviches y Causas,Causa Montada,,S/. 25.00,
Ceviches y Causas,Causa con Lomo Saltado,Causa rellena acompañada de un jugoso lomo saltado,S/. 25.00,
Ceviches y Causas,Canastitas Mixtas/Ceviche y Cecina,,S/. 25.00,
Pastas y Saltados,Fetuccini con Lomo Saltado,Deliciosos fetuccinis a la crema con lomo saltado tradicional,S/. 32.00,
Pastas y Saltados,Lomo Saltado,Finos cortes de carne salteados al wok con cebolla, tomate y papas fritas,S/. 28.00,
Combos,Combo Caleta,Ceviche + Arroz con Marisco + Chicharrón de Pescado,S/. 35.00,
Combos,Dúos Marinos,Elige tu Combinación,S/. 30.00,
Combos,Ronda Marina,Ceviche Mixto + Arroz con Marisco + Chicharrón de Pescado + Tortilla de Choclo + Causa,S/. 60.00,
Combos,Dúo Amazónico,Ceviche + Cecina + Chorizo + Patacones,S/. 30.00,
Arroces,Arroz con Marisco,,S/. 25.00,
Arroces,Arroz con Langostino,,S/. 40.00,
Arroces,Chaufa de Mariscos,,S/. 25.00,
Arroces,Tacu tacu con salsa mariscos,,S/. 25.00,
Arroces,Tacu tacu con  lomo saltado,,S/. 25.00,
Arroces,Chaufa Regional,,S/. 25.00,
Chicharrones,Chicharrón de Pescado,,S/. 30.00,
Chicharrones,Chicharrón Mixto,,S/. 40.00,
Chicharrones,Chicharrón de Pota,,S/. 25.00,
Chicharrones,Chicharrón de Pollo,,S/. 20.00,
Frituras,Cabrilla Frita,,S/. 35.00,
Frituras,Jalea Simple,,S/. 30.00,
Frituras,Jalea Mixta,,S/. 35.00,
Sopas,Sudado,,S/. 30.00,
Sopas,Parihuela,,S/. 40.00,
Sopas,Chupe de Pescado,,S/. 30.00,
Sopas,Chupe Mixto,,S/. 35.00,
Sábados y Domingos,Cuy Frito con Papas Guisadas,,S/. 25.00,
Bebidas,Refresco de chicha o maracuyá,1/2 o 1 litro,S/. 8.00,
Bebidas,Chicha morada frozen,NO DISPONIBLE,No disponible,
Bebidas,Maracuyá frozen,NO DISPONIBLE,No disponible,
Bebidas,Limonada frozen,NO DISPONIBLE,No disponible,
Bebidas,Chicha de jora,1 litro,S/. 10.00,
Bebidas,Gaseosa,3 litros,S/. 18.00,
Bebidas,Gaseosa,1 litro,S/. 10.00,
Bebidas,Gaseosa gordita,,S/. 6.00,
Bebidas,Gaseosa,1/2 litro,S/. 5.00,
Bebidas,Agua mineral,,S/. 4.00,
Bebidas,Cerveza Corona,,S/. 8.00,
Bebidas,Cerveza Cristal,,S/. 10.00,
Bebidas,Cerveza negra,,S/. 12.00,
Bebidas,Cerveza de trigo,,S/. 12.00,
